task_id,split,domain,trajectory_status,completed_rounds,final_quality,quality_round_1,quality_round_2,quality_round_3,cumulative_input_tokens,cumulative_output_tokens,cumulative_total_tokens,cumulative_wall_clock_ms,cumulative_api_latency_ms,cumulative_cost_usd,cumulative_logical_calls,transitions,failure_reason,scoring_error
math500::test/geometry/627.json,train,math,complete,3,1.0,1.0,1.0,1.0,20361.0,3039.0,23400.0,15739.0,37713.0,0.0023492168,21.0,neutral>neutral,,
math500::test/precalculus/1133.json,train,math,complete,3,0.0,0.0,0.0,0.0,25673.0,4685.0,30358.0,24389.0,51062.0,0.0044142952000000004,21.0,neutral>neutral,,
math500::test/intermediate_algebra/966.json,train,math,complete,3,0.0,0.0,0.0,0.0,35367.0,7806.0,43173.0,36837.0,76764.0,0.0057145704000000005,21.0,neutral>neutral,,
math500::test/geometry/477.json,test,math,complete,3,1.0,1.0,1.0,1.0,17337.0,1931.0,19268.0,12969.0,29555.0,0.0017561096,21.0,neutral>neutral,,
math500::test/algebra/478.json,train,math,complete,3,1.0,1.0,1.0,1.0,16823.0,1415.0,18238.0,9945.0,23679.0,0.0011884376000000003,21.0,neutral>neutral,,
math500::test/precalculus/1199.json,train,math,complete,3,0.0,0.0,0.0,0.0,23815.0,2607.0,26422.0,16699.0,36540.0,0.0020971608,21.0,neutral>neutral,,
math500::test/prealgebra/378.json,train,math,complete,3,0.0,0.0,0.0,0.0,24082.0,3355.0,27437.0,19006.0,44188.0,0.0029586368000000004,21.0,neutral>neutral,,
math500::test/prealgebra/1298.json,train,math,complete,3,1.0,1.0,1.0,1.0,16077.0,1662.0,17739.0,11683.0,26740.0,0.0014341432000000002,21.0,neutral>neutral,,
math500::test/intermediate_algebra/1405.json,train,math,complete,3,0.0,0.0,0.0,0.0,21301.0,3296.0,24597.0,18090.0,40399.0,0.0026581464000000007,21.0,neutral>neutral,,
math500::test/prealgebra/1388.json,validation,math,complete,3,1.0,1.0,1.0,1.0,17944.0,2340.0,20284.0,13514.0,30663.0,0.0019029248,21.0,neutral>neutral,,
math500::test/intermediate_algebra/1572.json,train,math,complete,3,1.0,1.0,1.0,1.0,17033.0,1733.0,18766.0,11197.0,25185.0,0.0014122472000000002,21.0,neutral>neutral,,
math500::test/geometry/965.json,test,math,complete,3,1.0,1.0,1.0,1.0,24357.0,4980.0,29337.0,35499.0,60511.0,0.0029604120000000004,21.0,neutral>neutral,,
math500::test/number_theory/838.json,train,math,complete,3,1.0,1.0,0.0,1.0,22848.0,4015.0,26863.0,20852.0,45808.0,0.0031462928,21.0,harm>recovery,,
math500::test/algebra/2043.json,train,math,complete,3,0.0,0.0,0.0,0.0,18003.0,2256.0,20259.0,12931.0,30574.0,0.0015891176000000001,21.0,neutral>neutral,,
math500::test/algebra/2779.json,validation,math,complete,3,1.0,0.0,0.0,1.0,22826.0,4156.0,26982.0,22630.0,44338.0,0.0037271024000000005,21.0,neutral>repair,,
math500::test/algebra/858.json,validation,math,complete,3,1.0,1.0,1.0,1.0,18605.0,2534.0,21139.0,16376.0,34003.0,0.0020497848,21.0,neutral>neutral,,
math500::test/intermediate_algebra/1197.json,test,math,complete,3,0.0,0.0,0.0,0.0,22586.0,3841.0,26427.0,25354.0,49334.0,0.0035526176000000003,21.0,neutral>neutral,,
math500::test/algebra/351.json,train,math,complete,3,1.0,1.0,1.0,1.0,18431.0,2325.0,20756.0,14666.0,32057.0,0.0020547128,21.0,neutral>neutral,,
math500::test/prealgebra/65.json,train,math,complete,3,1.0,1.0,1.0,1.0,19779.0,3057.0,22836.0,14535.0,35249.0,0.0022727768,21.0,neutral>neutral,,
math500::test/intermediate_algebra/1014.json,train,math,complete,3,1.0,1.0,1.0,1.0,19842.0,2907.0,22749.0,16273.0,35791.0,0.00227472,21.0,neutral>neutral,,
math500::test/number_theory/978.json,train,math,complete,3,1.0,1.0,1.0,1.0,17336.0,2056.0,19392.0,12015.0,29237.0,0.0016680384,21.0,neutral>neutral,,
math500::test/algebra/2253.json,train,math,complete,3,1.0,1.0,1.0,1.0,18137.0,2165.0,20302.0,12509.0,30518.0,0.0022848616,21.0,neutral>neutral,,
math500::test/precalculus/695.json,test,math,complete,3,0.0,0.0,0.0,0.0,22774.0,4185.0,26959.0,23624.0,46363.0,0.0038508736000000005,21.0,neutral>neutral,,
math500::test/precalculus/1289.json,train,math,complete,3,1.0,1.0,1.0,1.0,16491.0,1563.0,18054.0,11076.0,26128.0,0.0014819448000000003,21.0,neutral>neutral,,
math500::test/prealgebra/1297.json,train,math,complete,3,1.0,1.0,1.0,1.0,18319.0,2006.0,20325.0,12352.0,29936.0,0.0016160424,21.0,neutral>neutral,,
math500::test/number_theory/686.json,train,math,complete,3,1.0,1.0,1.0,1.0,18059.0,2571.0,20630.0,14204.0,33156.0,0.0020012664000000004,21.0,neutral>neutral,,
math500::test/intermediate_algebra/1544.json,train,math,complete,3,0.0,0.0,0.0,0.0,21794.0,3916.0,25710.0,25822.0,50618.0,0.0033924912000000006,21.0,neutral>neutral,,
math500::test/intermediate_algebra/2152.json,validation,math,complete,3,1.0,1.0,1.0,1.0,21756.0,3095.0,24851.0,17654.0,39887.0,0.0024197040000000004,21.0,neutral>neutral,,
math500::test/intermediate_algebra/1898.json,train,math,complete,3,1.0,1.0,1.0,1.0,18172.0,2132.0,20304.0,13282.0,31091.0,0.0017009888000000001,21.0,neutral>neutral,,
math500::test/intermediate_algebra/345.json,validation,math,complete,3,0.0,0.0,0.0,0.0,25246.0,4712.0,29958.0,26156.0,52461.0,0.004239144,21.0,neutral>neutral,,
math500::test/precalculus/356.json,validation,math,complete,3,1.0,1.0,1.0,1.0,18152.0,2013.0,20165.0,13349.0,29357.0,0.0016121840000000002,21.0,neutral>neutral,,
math500::test/algebra/1004.json,test,math,complete,3,1.0,1.0,1.0,1.0,15516.0,1452.0,16968.0,10941.0,25596.0,0.0012265568000000002,21.0,neutral>neutral,,
math500::test/counting_and_probability/803.json,test,math,complete,3,1.0,1.0,1.0,1.0,17787.0,2007.0,19794.0,12195.0,29336.0,0.0016472120000000001,21.0,neutral>neutral,,
math500::test/number_theory/132.json,train,math,complete,3,1.0,1.0,1.0,1.0,15225.0,1319.0,16544.0,10855.0,24872.0,0.0016227400000000003,21.0,neutral>neutral,,
math500::test/prealgebra/105.json,validation,math,complete,3,0.0,0.0,0.0,0.0,17621.0,2061.0,19682.0,14285.0,32352.0,0.0026401032,21.0,neutral>neutral,,
math500::test/prealgebra/954.json,train,math,complete,3,0.0,0.0,0.0,0.0,16661.0,1655.0,18316.0,11376.0,25831.0,0.0016017512,21.0,neutral>neutral,,
math500::test/algebra/975.json,train,math,complete,3,1.0,1.0,1.0,1.0,18844.0,2506.0,21350.0,12982.0,31619.0,0.0019875968,21.0,neutral>neutral,,
