task_id,split,domain,trajectory_status,completed_rounds,final_quality,quality_round_1,quality_round_2,quality_round_3,cumulative_input_tokens,cumulative_output_tokens,cumulative_total_tokens,cumulative_wall_clock_ms,cumulative_api_latency_ms,cumulative_cost_usd,cumulative_logical_calls,transitions,failure_reason,scoring_error
math500::test/geometry/627.json,train,math,complete,3,1.0,1.0,1.0,1.0,20930.0,3151.0,24081.0,17282.0,41318.0,0.0025480448000000004,21.0,neutral>neutral,,
math500::test/precalculus/1133.json,train,math,complete,3,0.0,0.0,0.0,0.0,32385.0,7044.0,39429.0,35865.0,72277.0,0.0051891,21.0,neutral>neutral,,
math500::test/intermediate_algebra/966.json,train,math,complete,3,1.0,1.0,0.0,1.0,25813.0,5957.0,31770.0,36941.0,68120.0,0.0041578376,21.0,harm>recovery,,
math500::test/geometry/477.json,test,math,complete,3,0.0,0.0,0.0,0.0,17203.0,1912.0,19115.0,13441.0,31453.0,0.0021183848000000003,21.0,neutral>neutral,,
math500::test/algebra/478.json,train,math,complete,3,1.0,1.0,1.0,1.0,16942.0,1484.0,18426.0,10931.0,24975.0,0.001294664,21.0,neutral>neutral,,
math500::test/precalculus/1199.json,train,math,complete,3,0.0,0.0,0.0,0.0,24453.0,3071.0,27524.0,18407.0,41616.0,0.0023164008000000004,21.0,neutral>neutral,,
math500::test/prealgebra/378.json,train,math,complete,3,0.0,1.0,0.0,0.0,26603.0,3963.0,30566.0,23220.0,46611.0,0.0027793528000000004,21.0,harm>neutral,,
math500::test/prealgebra/1298.json,train,math,complete,3,1.0,1.0,1.0,1.0,16148.0,1664.0,17812.0,12113.0,27773.0,0.0013041504,21.0,neutral>neutral,,
math500::test/intermediate_algebra/1405.json,train,math,complete,3,0.0,0.0,0.0,0.0,20763.0,3072.0,23835.0,18098.0,40992.0,0.0024322984,21.0,neutral>neutral,,
math500::test/prealgebra/1388.json,validation,math,complete,3,1.0,1.0,1.0,1.0,18033.0,2380.0,20413.0,14612.0,33444.0,0.0024534328000000005,21.0,neutral>neutral,,
math500::test/intermediate_algebra/1572.json,train,math,complete,3,1.0,1.0,1.0,1.0,17103.0,1659.0,18762.0,11242.0,27277.0,0.0014715736,21.0,neutral>neutral,,
math500::test/geometry/965.json,test,math,complete,3,0.0,0.0,0.0,0.0,27133.0,5462.0,32595.0,44418.0,75965.0,0.0043796536,21.0,neutral>neutral,,
