task_id,split,domain,trajectory_status,completed_rounds,final_quality,quality_round_1,quality_round_2,quality_round_3,cumulative_input_tokens,cumulative_output_tokens,cumulative_total_tokens,cumulative_wall_clock_ms,cumulative_api_latency_ms,cumulative_cost_usd,cumulative_logical_calls,transitions,failure_reason,scoring_error
mmlupro::test::370,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,28184.0,5041.0,33225.0,29563.0,62515.0,0.0044440368000000004,21.0,neutral>neutral,,
mmlupro::test::740,test,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,18087.0,1508.0,19595.0,11889.0,27881.0,0.0021290248,21.0,neutral>neutral,,
mmlupro::test::4826,train,mmlu_pro,complete,3,0.0,0.0,0.0,0.0,24476.0,1840.0,26316.0,16357.0,36863.0,0.0036608544,21.0,neutral>neutral,,
mmlupro::test::7961,validation,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,19807.0,2523.0,22330.0,16725.0,37133.0,0.0031984344,21.0,neutral>neutral,,
mmlupro::test::11478,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,23182.0,3165.0,26347.0,20957.0,47804.0,0.0038506944,21.0,neutral>neutral,,
mmlupro::test::5135,train,mmlu_pro,complete,3,0.0,0.0,0.0,0.0,18081.0,2019.0,20100.0,15025.0,36330.0,0.0028156744000000004,21.0,neutral>neutral,,
mmlupro::test::11396,validation,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,23858.0,2528.0,26386.0,16829.0,38619.0,0.0037669744,21.0,neutral>neutral,,
mmlupro::test::7896,validation,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,22948.0,3888.0,26836.0,25265.0,51652.0,0.003950128000000001,21.0,neutral>neutral,,
mmlupro::test::2771,validation,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,18074.0,1765.0,19839.0,15150.0,34374.0,0.0027435744000000005,21.0,neutral>neutral,,
mmlupro::test::11261,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,21573.0,2270.0,23843.0,15067.0,35523.0,0.0033748344000000003,21.0,neutral>neutral,,
mmlupro::test::5632,validation,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,19645.0,1923.0,21568.0,15603.0,35632.0,0.0030077544,21.0,neutral>neutral,,
mmlupro::test::9553,validation,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,20867.0,2276.0,23143.0,13490.0,31879.0,0.0032776744000000005,21.0,neutral>neutral,,
mmlupro::test::6910,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,20677.0,2230.0,22907.0,13223.0,31917.0,0.0026411000000000004,21.0,neutral>neutral,,
mmlupro::test::10162,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,19104.0,1936.0,21040.0,14296.0,33137.0,0.0029356544,21.0,neutral>neutral,,
mmlupro::test::8526,test,mmlu_pro,complete,3,0.0,0.0,0.0,0.0,23034.0,3220.0,26254.0,23593.0,45665.0,0.003617073600000001,21.0,neutral>neutral,,
mmlupro::test::6774,validation,mmlu_pro,complete,3,0.0,0.0,0.0,0.0,18180.0,1755.0,19935.0,13906.0,32896.0,0.0027556144,21.0,neutral>neutral,,
mmlupro::test::3217,train,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,16501.0,1577.0,18078.0,13026.0,30024.0,0.0020316744000000004,21.0,neutral>neutral,,
mmlupro::test::8695,test,mmlu_pro,complete,3,1.0,1.0,1.0,1.0,21644.0,2673.0,24317.0,17072.0,41109.0,0.0034976143999999997,21.0,neutral>neutral,,
