task_id,split,domain,trajectory_status,completed_rounds,final_quality,quality_round_1,quality_round_2,quality_round_3,quality_round_4,quality_round_5,cumulative_input_tokens,cumulative_output_tokens,cumulative_total_tokens,cumulative_wall_clock_ms,cumulative_api_latency_ms,cumulative_cost_usd,cumulative_logical_calls,transitions,failure_reason,scoring_error
mmlupro::test::370,train,mmlu_pro,complete,5,0.0,1.0,1.0,1.0,0.0,0.0,51239.0,7914.0,59153.0,52802.0,95580.0,0.008265437600000002,35.0,neutral>neutral>harm>neutral,,
mmlupro::test::740,test,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,34530.0,3076.0,37606.0,22488.0,50104.0,0.0050983856,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::4826,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,45598.0,3746.0,49344.0,29245.0,62651.0,0.006835505600000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::7961,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,37600.0,4417.0,42017.0,26256.0,59385.0,0.0059036656,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::11478,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,47993.0,6991.0,54984.0,42708.0,87640.0,0.0080794056,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::5135,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,35468.0,4259.0,39727.0,29400.0,63272.0,0.0055609456000000005,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::11396,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,44486.0,4916.0,49402.0,30374.0,65461.0,0.0070074256000000005,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::7896,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,41750.0,6166.0,47916.0,34056.0,73444.0,0.006904139200000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::2771,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,34793.0,3507.0,38300.0,27042.0,58831.0,0.0052558856,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::11261,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,43886.0,5651.0,49537.0,32930.0,67690.0,0.0071292256,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::5632,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,36814.0,3626.0,40440.0,26130.0,58825.0,0.0055721456,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::9553,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,41275.0,5010.0,46285.0,26067.0,59075.0,0.0065842056,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::6910,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,41924.0,4999.0,46923.0,29640.0,63283.0,0.006671985600000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::10162,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,37576.0,4216.0,41792.0,26172.0,58880.0,0.005844025600000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::8526,test,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,41054.0,5482.0,46536.0,36020.0,71504.0,0.006580056000000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::6774,validation,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,33881.0,3201.0,37082.0,25457.0,56143.0,0.0050425256,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::3217,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,31368.0,2910.0,34278.0,21942.0,49531.0,0.0046092256,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::8695,test,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,40170.0,4771.0,44941.0,30681.0,64972.0,0.006362585600000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::6418,test,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,40370.0,4682.0,45052.0,31614.0,67100.0,0.006365665600000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::4227,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,40673.0,4776.0,45449.0,29141.0,62709.0,0.0064344056,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::4556,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,53145.0,5858.0,59003.0,31598.0,68537.0,0.0084834456,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::9877,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,41663.0,4788.0,46451.0,29961.0,68166.0,0.006576365600000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::10434,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,34289.0,3584.0,37873.0,23930.0,54004.0,0.005206885600000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::1739,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,48621.0,5292.0,53913.0,32210.0,68578.0,0.007691605600000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::6386,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,40586.0,4285.0,44871.0,30780.0,66142.0,0.0062847456,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::3540,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,34808.0,3585.0,38393.0,26274.0,57529.0,0.0052798256,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::8442,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,43296.0,3979.0,47275.0,29914.0,62739.0,0.0065784656000000006,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::3223,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,41038.0,3459.0,44497.0,26586.0,56925.0,0.006116745600000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::1850,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,36390.0,3174.0,39564.0,25559.0,58227.0,0.005386225600000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::9515,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,44796.0,6071.0,50867.0,34166.0,73027.0,0.007374225600000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::10447,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,38087.0,4703.0,42790.0,27807.0,61143.0,0.006051925600000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::4401,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,52992.0,6811.0,59803.0,36927.0,78655.0,0.008728865600000002,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::11564,test,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,55361.0,6217.0,61578.0,38496.0,79300.0,0.008771274400000003,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::9986,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,43220.0,4898.0,48118.0,27606.0,62367.0,0.0068251456,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::7471,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,35739.0,3058.0,38797.0,24200.0,53517.0,0.0052626056,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::361,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,36556.0,3672.0,40228.0,27401.0,58646.0,0.0055489056,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::5532,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,34319.0,3510.0,37829.0,26068.0,58228.0,0.0051903656,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::10972,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,36173.0,3838.0,40011.0,25763.0,57157.0,0.005541765600000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::2130,test,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,36366.0,3363.0,39729.0,24807.0,57051.0,0.0054357856000000005,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::4097,test,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,50959.0,5992.0,56951.0,34264.0,74215.0,0.0082149256,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::5383,test,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,32919.0,3116.0,36035.0,23716.0,53616.0,0.0048840456,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::1621,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,55248.0,4094.0,59342.0,28018.0,63774.0,0.0082839456,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::7842,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,39078.0,4797.0,43875.0,28794.0,64257.0,0.0062169856,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::11736,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,37157.0,3659.0,40816.0,27223.0,59642.0,0.005629405600000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::968,test,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,49420.0,4148.0,53568.0,28527.0,63104.0,0.007483145599999999,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::1915,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,47802.0,3540.0,51342.0,28835.0,60309.0,0.007086385600000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::4839,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,33220.0,3373.0,36593.0,23613.0,54451.0,0.0049981456,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::2895,test,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,40412.0,3928.0,44340.0,27197.0,60207.0,0.006160425600000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::2032,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,35529.0,2998.0,38527.0,23678.0,52384.0,0.0052164056,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::7433,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,44294.0,4474.0,48768.0,28745.0,62606.0,0.0068567856,35.0,neutral>neutral>neutral>neutral,,
