task_id,split,domain,trajectory_status,completed_rounds,final_quality,quality_round_1,quality_round_2,quality_round_3,quality_round_4,quality_round_5,cumulative_input_tokens,cumulative_output_tokens,cumulative_total_tokens,cumulative_wall_clock_ms,cumulative_api_latency_ms,cumulative_cost_usd,cumulative_logical_calls,transitions,failure_reason,scoring_error
mmlupro::test::370,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,51413.0,64660.0,116073.0,370547.0,624642.0,0.023915253600000002,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::740,test,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,38971.0,7287.0,46258.0,44910.0,91942.0,0.006108933600000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::4826,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,50180.0,14454.0,64634.0,95084.0,172165.0,0.0096849536,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::7961,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,42200.0,16805.0,59005.0,91084.0,176654.0,0.009226033600000003,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::11478,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,46418.0,187787.0,234205.0,1204186.0,1908947.0,0.05769151360000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::5135,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,40404.0,24837.0,65241.0,171690.0,256270.0,0.011223553600000002,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::11396,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,46684.0,13830.0,60514.0,80341.0,154389.0,0.0090207936,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::7896,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,41879.0,28458.0,70337.0,177819.0,278481.0,0.0124439336,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::2771,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,38768.0,8366.0,47134.0,60187.0,118658.0,0.006382633600000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::11261,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,46919.0,13781.0,60700.0,71940.0,153966.0,0.0087941112,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::5632,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,41330.0,13443.0,54773.0,85460.0,157558.0,0.0081628736,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::9553,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,45108.0,10318.0,55426.0,51977.0,111986.0,0.0078167936,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::6910,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,44760.0,26640.0,71400.0,182533.0,265098.0,0.012338233600000002,35.0,neutral>neutral>neutral>neutral,,
