task_id,split,domain,trajectory_status,completed_rounds,final_quality,quality_round_1,quality_round_2,quality_round_3,quality_round_4,quality_round_5,cumulative_input_tokens,cumulative_output_tokens,cumulative_total_tokens,cumulative_wall_clock_ms,cumulative_api_latency_ms,cumulative_cost_usd,cumulative_logical_calls,transitions,failure_reason,scoring_error
mmlupro::test::370,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,41463.0,160912.0,202375.0,489027.0,1084546.0,0.06643795,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::740,test,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,31997.0,37234.0,69231.0,132875.0,271053.0,0.01649345,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::4826,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,41717.0,54822.0,96539.0,217251.0,423129.0,0.024014650000000002,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::7961,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,36591.0,74590.0,111181.0,237862.0,509938.0,0.03166555,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::11478,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,39612.0,94076.0,133688.0,317401.0,652314.0,0.039611,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::5135,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,30936.0,61595.0,92531.0,234227.0,430393.0,0.026184799999999998,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::11396,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,42332.0,82005.0,124337.0,262001.0,573820.0,0.0349186,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::7896,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,34546.0,68408.0,102954.0,230857.0,502701.0,0.0290905,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::2771,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,30526.0,57522.0,88048.0,211518.0,401111.0,0.0245351,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::11261,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,37198.0,70393.0,107591.0,231404.0,484506.0,0.0300171,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::5632,validation,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,34417.0,69607.0,104024.0,250110.0,500472.0,0.02956365,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::9553,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,40994.0,61108.0,102102.0,214586.0,435392.0,0.026412260000000003,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::6910,train,mmlu_pro,complete,5,1.0,0.0,1.0,1.0,1.0,1.0,36437.0,72247.0,108684.0,261664.0,500888.0,0.030720650000000002,35.0,repair>neutral>neutral>neutral,,
mmlupro::test::10162,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,35629.0,49140.0,84769.0,160674.0,304214.0,0.02143745,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::8526,test,mmlu_pro,complete,5,1.0,0.0,0.0,0.0,1.0,1.0,38108.0,245247.0,283355.0,756199.0,1542486.0,0.1000042,35.0,neutral>neutral>repair>neutral,,
mmlupro::test::6774,validation,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,31859.0,49834.0,81693.0,180999.0,358413.0,0.021526550000000002,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::3217,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,29338.0,49127.0,78465.0,175102.0,335248.0,0.0211177,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::8695,test,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,35351.0,62431.0,97782.0,230826.0,457299.0,0.026739950000000002,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::6418,test,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,35089.0,83409.0,118498.0,269780.0,583569.0,0.03511805,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::4227,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,39771.0,64709.0,104480.0,222471.0,441345.0,0.027872150000000002,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::4556,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,49095.0,121264.0,170359.0,400858.0,809292.0,0.05096035000000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::9877,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,37198.0,101585.0,138783.0,316480.0,645511.0,0.0424939,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::10434,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,32406.0,87227.0,119633.0,324366.0,631414.0,0.036511100000000005,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::1739,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,42885.0,92719.0,135604.0,348006.0,678415.0,0.03923185,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::6386,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,35814.0,89681.0,125495.0,302664.0,620060.0,0.0376631,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::3540,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,31958.0,52576.0,84534.0,189188.0,360100.0,0.022628300000000004,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::8442,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,39598.0,67773.0,107371.0,219773.0,432234.0,0.029089100000000003,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::3223,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,38081.0,52467.0,90548.0,192694.0,349239.0,0.02289085,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::1850,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,33847.0,66314.0,100161.0,265483.0,465911.0,0.028217950000000002,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::9515,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,42273.0,110141.0,152414.0,385494.0,778014.0,0.046170050000000004,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::10447,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,32680.0,51018.0,83698.0,200356.0,385993.0,0.0220412,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::4401,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,47242.0,107530.0,154772.0,343308.0,744857.0,0.0453741,35.0,neutral>neutral>neutral>neutral,,
