task_id,split,domain,trajectory_status,completed_rounds,final_quality,quality_round_1,quality_round_2,quality_round_3,quality_round_4,quality_round_5,cumulative_input_tokens,cumulative_output_tokens,cumulative_total_tokens,cumulative_wall_clock_ms,cumulative_api_latency_ms,cumulative_cost_usd,cumulative_logical_calls,transitions,failure_reason,scoring_error
mmlupro::test::370,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,47986.0,80165.0,128151.0,349993.0,665264.0,0.027285148800000002,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::740,test,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,37041.0,6622.0,43663.0,41437.0,84217.0,0.00528374,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::4826,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,46879.0,19275.0,66154.0,150228.0,247471.0,0.010291708000000002,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::7961,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,39337.0,19817.0,59154.0,112658.0,212841.0,0.009387588,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::11478,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,46210.0,338240.0,384450.0,1624263.0,3146054.0,0.09950824800000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::5135,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,36022.0,91920.0,127942.0,730086.0,1062684.0,0.029112328,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::11396,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,44585.0,16132.0,60717.0,81691.0,162316.0,0.009090508,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::7896,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,38853.0,21683.0,60536.0,127242.0,222387.0,0.009842308000000001,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::2771,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,37364.0,9311.0,46675.0,67586.0,132285.0,0.0059940720000000005,35.0,neutral>neutral>neutral>neutral,,
mmlupro::test::11261,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,42062.0,17468.0,59530.0,92879.0,200178.0,0.009111368000000002,35.0,neutral>neutral>neutral>neutral,,
