task_id,split,domain,trajectory_status,completed_rounds,final_quality,quality_round_1,quality_round_2,quality_round_3,quality_round_4,quality_round_5,cumulative_input_tokens,cumulative_output_tokens,cumulative_total_tokens,cumulative_wall_clock_ms,cumulative_api_latency_ms,cumulative_cost_usd,cumulative_logical_calls,transitions,failure_reason,scoring_error,single_observation_status,single_predicted_answer,single_quality,single_is_correct,single_input_tokens,single_output_tokens,single_total_tokens,single_wall_clock_ms,single_api_latency_ms,single_cost_usd,single_logical_calls,single_api_attempts,single_transport_retries,single_format_repairs,single_fallback,single_fallback_type,single_finish_reason,single_truncated,single_truncated_attempts,single_failure_reason,single_scoring_error
mmlupro::test::370,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,35526.0,3603.0,39129.0,26175.0,53270.0,0.007490699999999999,35.0,neutral>neutral>neutral>neutral,,,complete,(B) 0.75,0.0,False,558.0,102.0,660.0,1843.0,1842.0,0.0001449,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::740,test,mmlu_pro,complete,5,1.0,0.0,1.0,1.0,1.0,1.0,32098.0,3330.0,35428.0,25048.0,52515.0,0.0068127,35.0,repair>neutral>neutral>neutral,,,complete,(B),0.0,False,472.0,93.0,565.0,2150.0,2149.0,0.0001266,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::4826,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,42167.0,3502.0,45669.0,27102.0,54180.0,0.00842625,35.0,neutral>neutral>neutral>neutral,,,complete,G,0.0,False,737.0,70.0,807.0,1433.0,1432.0,0.00015255000000000002,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::7961,validation,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,31223.0,3186.0,34409.0,21983.0,47809.0,0.006595049999999999,35.0,neutral>neutral>neutral>neutral,,,complete,H,0.0,False,450.0,72.0,522.0,2552.0,2551.0,0.0001107,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::11478,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,34907.0,3480.0,38387.0,23210.0,48752.0,0.00732405,35.0,neutral>neutral>neutral>neutral,,,complete,C,1.0,True,544.0,83.0,627.0,1639.0,1638.0,0.00013139999999999997,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::5135,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,29511.0,3126.0,32637.0,22999.0,47646.0,0.00630225,35.0,neutral>neutral>neutral>neutral,,,complete,B,0.0,False,420.0,57.0,477.0,3215.0,3214.0,9.719999999999999e-05,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::11396,validation,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,39121.0,4208.0,43329.0,25869.0,56047.0,0.00839295,35.0,neutral>neutral>neutral>neutral,,,complete,B,0.0,False,608.0,105.0,713.0,1741.0,1740.0,0.00015419999999999998,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::7896,validation,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,32368.0,4002.0,36370.0,26886.0,54325.0,0.0072564,35.0,neutral>neutral>neutral>neutral,,,complete,E,0.0,False,432.0,70.0,502.0,1332.0,1331.0,0.0001068,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::2771,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,30481.0,3041.0,33522.0,22625.0,46754.0,0.00639675,35.0,neutral>neutral>neutral>neutral,,,complete,H,1.0,True,444.0,62.0,506.0,1435.0,1435.0,0.00010379999999999999,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::11261,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,34553.0,3305.0,37858.0,20879.0,46946.0,0.00716595,35.0,neutral>neutral>neutral>neutral,,,complete,B,0.0,False,550.0,69.0,619.0,1312.0,1311.0,0.0001239,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::5632,validation,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,31488.0,2831.0,34319.0,21158.0,45349.0,0.006421799999999999,35.0,neutral>neutral>neutral>neutral,,,complete,E,0.0,False,489.0,47.0,536.0,1229.0,1228.0,0.00010155,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::9553,validation,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,36958.0,4873.0,41831.0,34980.0,67148.0,0.0084675,35.0,neutral>neutral>neutral>neutral,,,complete,A,0.0,False,507.0,114.0,621.0,2252.0,2251.0,0.00014445,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::6910,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,34022.0,3424.0,37446.0,22905.0,50492.0,0.0071577,35.0,neutral>neutral>neutral>neutral,,,complete,E,0.0,False,517.0,63.0,580.0,1433.0,1432.0,0.00011535,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::10162,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,34133.0,4238.0,38371.0,28938.0,59741.0,0.00766275,35.0,neutral>neutral>neutral>neutral,,,complete,(B),0.0,False,464.0,93.0,557.0,1638.0,1637.0,0.00012539999999999999,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::8526,test,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,32924.0,3556.0,36480.0,27871.0,53703.0,0.007072199999999999,35.0,neutral>neutral>neutral>neutral,,,complete,B,0.0,False,482.0,61.0,543.0,1387.0,1386.0,0.0001089,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::6774,validation,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,29758.0,2743.0,32501.0,22594.0,45905.0,0.0061095,35.0,neutral>neutral>neutral>neutral,,,complete,A,0.0,False,447.0,47.0,494.0,1229.0,1228.0,9.525e-05,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::3217,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,28621.0,2979.0,31600.0,21485.0,45221.0,0.00608055,35.0,neutral>neutral>neutral>neutral,,,complete,B,1.0,True,397.0,49.0,446.0,1230.0,1230.0,8.895e-05,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::8695,test,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,32282.0,3066.0,35348.0,20953.0,45791.0,0.006681899999999999,35.0,neutral>neutral>neutral>neutral,,,complete,B,1.0,True,490.0,58.0,548.0,1330.0,1330.0,0.0001083,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::6418,test,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,33366.0,3210.0,36576.0,22925.0,48541.0,0.006930899999999999,35.0,neutral>neutral>neutral>neutral,,,complete,H,1.0,True,514.0,65.0,579.0,1290.0,1289.0,0.00011609999999999999,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::4227,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,37392.0,4784.0,42176.0,34164.0,65855.0,0.008479200000000001,35.0,neutral>neutral>neutral>neutral,,,complete,(D),0.0,False,510.0,179.0,689.0,2764.0,2763.0,0.00018389999999999997,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::4556,train,mmlu_pro,complete,5,1.0,0.0,0.0,0.0,1.0,1.0,44005.0,3900.0,47905.0,25360.0,54461.0,0.00894075,35.0,neutral>neutral>repair>neutral,,,complete,B,0.0,False,775.0,102.0,877.0,1945.0,1944.0,0.00017744999999999998,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::9877,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,33910.0,3123.0,37033.0,24591.0,49650.0,0.0069603,35.0,neutral>neutral>neutral>neutral,,,complete,G,0.0,False,533.0,54.0,587.0,1283.0,1282.0,0.00011235,1.0,1,0,0,False,,stop,False,0,,
