task_id,split,domain,trajectory_status,completed_rounds,final_quality,quality_round_1,quality_round_2,quality_round_3,quality_round_4,quality_round_5,cumulative_input_tokens,cumulative_output_tokens,cumulative_total_tokens,cumulative_wall_clock_ms,cumulative_api_latency_ms,cumulative_cost_usd,cumulative_logical_calls,transitions,failure_reason,scoring_error,single_observation_status,single_predicted_answer,single_quality,single_is_correct,single_input_tokens,single_output_tokens,single_total_tokens,single_wall_clock_ms,single_api_latency_ms,single_cost_usd,single_logical_calls,single_api_attempts,single_transport_retries,single_format_repairs,single_fallback,single_fallback_type,single_finish_reason,single_truncated,single_truncated_attempts,single_failure_reason,single_scoring_error
mmlupro::test::370,train,mmlu_pro,complete,5,1.0,0.0,0.0,1.0,1.0,1.0,59359.0,12119.0,71478.0,82802.0,146066.0,0.0105971992,35.0,neutral>repair>neutral>neutral,,,complete,H,1.0,True,1596.0,32814.0,34410.0,169370.0,169369.0,0.0093059904,1.0,2,0,1,False,,stop,True,1,,
mmlupro::test::740,test,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,33231.0,3165.0,36396.0,26686.0,57751.0,0.004519967200000001,35.0,neutral>neutral>neutral>neutral,,,complete,J,1.0,True,495.0,57.0,552.0,1230.0,1230.0,5.0136800000000004e-05,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::4826,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,45248.0,4281.0,49529.0,40931.0,87596.0,0.006514827200000001,35.0,neutral>neutral>neutral>neutral,,,complete,G,0.0,False,750.0,61.0,811.0,1740.0,1739.0,8.695680000000001e-05,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::7961,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,37884.0,5320.0,43204.0,37614.0,78604.0,0.005774787200000001,35.0,neutral>neutral>neutral>neutral,,,complete,H,0.0,False,472.0,66.0,538.0,1741.0,1740.0,4.943680000000001e-05,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::11478,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,43907.0,6268.0,50175.0,44398.0,90873.0,0.006883447200000001,35.0,neutral>neutral>neutral>neutral,,,complete,C,1.0,True,573.0,87.0,660.0,1742.0,1741.0,6.94568e-05,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::5135,train,mmlu_pro,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,33508.0,4132.0,37640.0,34364.0,72617.0,0.0048295072,35.0,neutral>neutral>neutral>neutral,,,complete,B,0.0,False,448.0,83.0,531.0,1411.0,1410.0,5.08368e-05,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::11396,validation,mmlu_pro,complete,5,0.0,1.0,1.0,1.0,1.0,0.0,47741.0,7108.0,54849.0,47266.0,90980.0,0.0076554071999999996,35.0,neutral>neutral>neutral>harm,,,complete,D,1.0,True,631.0,108.0,739.0,1637.0,1637.0,8.345680000000001e-05,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::7896,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,45822.0,7971.0,53793.0,57712.0,120355.0,0.0076283872,35.0,neutral>neutral>neutral>neutral,,,complete,B,1.0,True,1260.0,700.0,1960.0,7780.0,7778.0,0.000284592,1.0,2,0,1,False,,stop,False,0,,
mmlupro::test::2771,validation,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,34227.0,3941.0,38168.0,38153.0,76939.0,0.0048766872,35.0,neutral>neutral>neutral>neutral,,,complete,H,1.0,True,469.0,54.0,523.0,1537.0,1536.0,4.5656800000000006e-05,1.0,1,0,0,False,,stop,False,0,,
mmlupro::test::11261,train,mmlu_pro,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,39403.0,4571.0,43974.0,34905.0,78392.0,0.0057777272,35.0,neutral>neutral>neutral>neutral,,,complete,I,1.0,True,572.0,91.0,663.0,1843.0,1843.0,7.04368e-05,1.0,1,0,0,False,,stop,False,0,,
