task_id,split,domain,trajectory_status,completed_rounds,final_quality,quality_round_1,quality_round_2,quality_round_3,quality_round_4,quality_round_5,cumulative_input_tokens,cumulative_output_tokens,cumulative_total_tokens,cumulative_wall_clock_ms,cumulative_api_latency_ms,cumulative_cost_usd,cumulative_logical_calls,transitions,failure_reason,scoring_error,single_observation_status,single_predicted_answer,single_quality,single_is_correct,single_input_tokens,single_output_tokens,single_total_tokens,single_wall_clock_ms,single_api_latency_ms,single_cost_usd,single_logical_calls,single_api_attempts,single_transport_retries,single_format_repairs,single_fallback,single_fallback_type,single_finish_reason,single_truncated,single_truncated_attempts,single_failure_reason,single_scoring_error
logiqa2::dev::9905,validation,logiqa,complete,5,0.0,1.0,1.0,1.0,0.0,0.0,44348.0,4782.0,49130.0,36208.0,75826.0,0.0065291072,35.0,neutral>neutral>harm>neutral,,,complete,C,1.0,True,717.0,89.0,806.0,1843.0,1842.0,9.017680000000001e-05,1.0,1,0,0,False,,stop,False,0,,
logiqa2::dev::9055,validation,logiqa,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,39384.0,4260.0,43644.0,30887.0,69114.0,0.0053367552,35.0,neutral>neutral>neutral>neutral,,,complete,C,1.0,True,597.0,59.0,656.0,1228.0,1227.0,2.9853600000000005e-05,1.0,1,0,0,False,,stop,False,0,,
logiqa2::train::7419,train,logiqa,complete,5,0.0,1.0,1.0,1.0,0.0,0.0,35355.0,4019.0,39374.0,37528.0,81717.0,0.0050564472000000004,35.0,neutral>neutral>harm>neutral,,,complete,B,0.0,False,510.0,56.0,566.0,2261.0,2260.0,5.1956800000000004e-05,1.0,1,0,0,False,,stop,False,0,,
logiqa2::train::4719,train,logiqa,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,43642.0,5176.0,48818.0,41166.0,92951.0,0.0065405872,35.0,neutral>neutral>neutral>neutral,,,complete,D,1.0,True,669.0,75.0,744.0,3392.0,3392.0,7.953680000000001e-05,1.0,1,0,0,False,,stop,False,0,,
logiqa2::train::7599,train,logiqa,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,38490.0,4281.0,42771.0,40302.0,90817.0,0.005568707200000001,35.0,neutral>neutral>neutral>neutral,,,complete,C,0.0,False,585.0,73.0,658.0,2275.0,2275.0,6.72168e-05,1.0,1,0,0,False,,stop,False,0,,
logiqa2::train::2220,train,logiqa,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,40242.0,3703.0,43945.0,38736.0,81915.0,0.005652147200000001,35.0,neutral>neutral>neutral>neutral,,,complete,B,1.0,True,683.0,67.0,750.0,9761.0,9760.0,7.925680000000002e-05,1.0,1,0,0,False,,stop,False,0,,
logiqa2::test::5319,test,logiqa,complete,5,0.0,1.0,0.0,1.0,1.0,0.0,56500.0,11997.0,68497.0,87222.0,144874.0,0.010180340800000002,35.0,harm>recovery>neutral>harm,,,complete,A,1.0,True,569.0,263.0,832.0,3218.0,3217.0,0.00011817680000000002,1.0,1,0,0,False,,stop,False,0,,
logiqa2::train::10403,train,logiqa,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,44419.0,5357.0,49776.0,47023.0,96129.0,0.0067000472,35.0,neutral>neutral>neutral>neutral,,,complete,C,1.0,True,657.0,77.0,734.0,1994.0,1993.0,7.84168e-05,1.0,1,0,0,False,,stop,False,0,,
logiqa2::dev::3417,validation,logiqa,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,35618.0,3678.0,39296.0,29413.0,65714.0,0.004997787200000001,35.0,neutral>neutral>neutral>neutral,,,complete,A,0.0,False,538.0,53.0,591.0,1473.0,1472.0,5.503680000000001e-05,1.0,1,0,0,False,,stop,False,0,,
logiqa2::dev::13265,validation,logiqa,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,39899.0,4277.0,44176.0,30880.0,68379.0,0.0057648472,35.0,neutral>neutral>neutral>neutral,,,complete,B,1.0,True,610.0,89.0,699.0,1639.0,1638.0,7.519679999999999e-05,1.0,1,0,0,False,,stop,False,0,,
logiqa2::train::7952,train,logiqa,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,37083.0,4143.0,41226.0,389503.0,1139946.0,0.0053330872,35.0,neutral>neutral>neutral>neutral,,,complete,A,1.0,True,545.0,101.0,646.0,2456.0,2455.0,6.94568e-05,1.0,1,0,0,False,,stop,False,0,,
logiqa2::dev::15085,validation,logiqa,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,36004.0,3315.0,39319.0,27508.0,62756.0,0.0049501872,35.0,neutral>neutral>neutral>neutral,,,complete,B,1.0,True,565.0,57.0,622.0,1528.0,1528.0,5.9936800000000005e-05,1.0,1,0,0,False,,stop,False,0,,
logiqa2::train::3872,train,logiqa,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,44351.0,5101.0,49452.0,53189.0,122351.0,0.0066188472,35.0,neutral>neutral>neutral>neutral,,,complete,B,1.0,True,662.0,81.0,743.0,2353.0,2352.0,8.02368e-05,1.0,1,0,0,False,,stop,False,0,,
logiqa2::train::10358,train,logiqa,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,38088.0,3703.0,41791.0,35387.0,78163.0,0.0053505872,35.0,neutral>neutral>neutral>neutral,,,complete,B,1.0,True,603.0,60.0,663.0,1987.0,1986.0,6.60968e-05,1.0,1,0,0,False,,stop,False,0,,
