task_id,split,domain,trajectory_status,completed_rounds,final_quality,quality_round_1,quality_round_2,quality_round_3,quality_round_4,quality_round_5,cumulative_input_tokens,cumulative_output_tokens,cumulative_total_tokens,cumulative_wall_clock_ms,cumulative_api_latency_ms,cumulative_cost_usd,cumulative_logical_calls,transitions,failure_reason,scoring_error,single_observation_status,single_predicted_answer,single_quality,single_is_correct,single_input_tokens,single_output_tokens,single_total_tokens,single_wall_clock_ms,single_api_latency_ms,single_cost_usd,single_logical_calls,single_api_attempts,single_transport_retries,single_format_repairs,single_fallback,single_fallback_type,single_finish_reason,single_truncated,single_truncated_attempts,single_failure_reason,single_scoring_error
harp::1990::AJHSME::19,test,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,35551.0,118704.0,154255.0,397976.0,768672.0,0.04925915000000001,35.0,neutral>neutral>neutral>neutral,,,complete,A,1.0,True,425.0,3126.0,3551.0,17100.0,17099.0,0.00127165,1.0,1,0,0,False,,stop,False,0,,
harp::1998::AHSME::28,test,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,44776.0,164263.0,209039.0,445296.0,962958.0,0.067944,35.0,neutral>neutral>neutral>neutral,,,complete,E,1.0,True,474.0,8225.0,8699.0,43622.0,43622.0,0.0033136999999999997,1.0,1,0,0,False,,stop,False,0,,
harp::1968::AHSME::23,train,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,37248.0,67277.0,104525.0,238755.0,498349.0,0.028773200000000006,35.0,neutral>neutral>neutral>neutral,,,complete,C,1.0,True,491.0,1225.0,1716.0,9318.0,9317.0,0.0005145499999999999,1.0,1,0,0,False,,stop,False,0,,
harp::2006::AMC_10B::9,train,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,33639.0,53602.0,87241.0,182985.0,352409.0,0.023122750000000004,35.0,neutral>neutral>neutral>neutral,,,complete,D,1.0,True,467.0,531.0,998.0,3673.0,3672.0,0.00023575,1.0,1,0,0,False,,stop,False,0,,
harp::2016::AMC_12B::5,train,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,32568.0,51240.0,83808.0,190955.0,354447.0,0.022124400000000002,35.0,neutral>neutral>neutral>neutral,,,complete,C,1.0,True,469.0,764.0,1233.0,6028.0,6027.0,0.00032905,1.0,1,0,0,False,,stop,False,0,,
harp::1997::AJHSME::11,train,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,34226.0,51229.0,85455.0,167350.0,329629.0,0.0222029,35.0,neutral>neutral>neutral>neutral,,,complete,D,1.0,True,456.0,1388.0,1844.0,8731.0,8730.0,0.000578,1.0,1,0,0,False,,stop,False,0,,
harp::2011::AMC_12A::16,validation,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,35086.0,63223.0,98309.0,181244.0,382915.0,0.0270435,35.0,neutral>neutral>neutral>neutral,,,complete,B,1.0,True,438.0,1319.0,1757.0,7957.0,7956.0,0.0005495,1.0,1,0,0,False,,stop,False,0,,
harp::1961::AHSME::1,validation,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,34039.0,51846.0,85885.0,158491.0,317728.0,0.02244035,35.0,neutral>neutral>neutral>neutral,,,complete,B,1.0,True,429.0,1315.0,1744.0,9406.0,9406.0,0.00054745,1.0,1,0,0,False,,stop,False,0,,
harp::1960::AHSME::28,validation,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,32017.0,45237.0,77254.0,150611.0,295274.0,0.01969565,35.0,neutral>neutral>neutral>neutral,,,complete,C,1.0,True,451.0,581.0,1032.0,3869.0,3869.0,0.00025495,1.0,1,0,0,False,,stop,False,0,,
harp::1950::AHSME::6,validation,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,35506.0,64000.0,99506.0,190533.0,366760.0,0.027375299999999998,35.0,neutral>neutral>neutral>neutral,,,complete,D,1.0,True,475.0,935.0,1410.0,6034.0,6033.0,0.00039775,1.0,1,0,0,False,,stop,False,0,,
harp::1979::AHSME::15,train,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,40670.0,63079.0,103749.0,208024.0,424385.0,0.027265100000000004,35.0,neutral>neutral>neutral>neutral,,,complete,E,0.0,False,524.0,512.0,1036.0,3686.0,3686.0,0.000231,1.0,1,0,0,False,,stop,False,0,,
harp::1985::AJHSME::23,train,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,32746.0,49062.0,81808.0,162342.0,333961.0,0.0212621,35.0,neutral>neutral>neutral>neutral,,,complete,C,1.0,True,444.0,776.0,1220.0,5257.0,5256.0,0.0003326,1.0,1,0,0,False,,stop,False,0,,
harp::2016::AMC_10B::6,test,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,38485.0,309464.0,347949.0,943578.0,1874684.0,0.12570985,35.0,neutral>neutral>neutral>neutral,,,complete,E,1.0,True,433.0,6366.0,6799.0,37990.0,37989.0,0.00256805,1.0,1,0,0,False,,stop,False,0,,
harp::2021::AMC_10A::2,train,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,32354.0,39569.0,71923.0,120529.0,249505.0,0.0174453,35.0,neutral>neutral>neutral>neutral,,,complete,E,1.0,True,437.0,964.0,1401.0,5581.0,5580.0,0.00040745000000000006,1.0,1,0,0,False,,stop,False,0,,
harp::1986::AHSME::24,train,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,40478.0,98069.0,138547.0,275928.0,629809.0,0.0412515,35.0,neutral>neutral>neutral>neutral,,,complete,C,1.0,True,473.0,2167.0,2640.0,12594.0,12593.0,0.0008904500000000001,1.0,1,0,0,False,,stop,False,0,,
harp::1980::AHSME::13,test,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,40510.0,95430.0,135940.0,299588.0,633502.0,0.0401975,35.0,neutral>neutral>neutral>neutral,,,complete,C,1.0,True,547.0,2820.0,3367.0,16280.0,16280.0,0.0011553499999999999,1.0,1,0,0,False,,stop,False,0,,
harp::2002::AMC_12A::22,validation,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,48225.0,186134.0,234359.0,494452.0,1131938.0,0.07686485000000001,35.0,neutral>neutral>neutral>neutral,,,complete,E,1.0,True,648.0,5919.0,6567.0,34821.0,34820.0,0.0024,1.0,1,0,0,False,,stop,False,0,,
harp::1991::AJHSME::1,train,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,31580.0,47124.0,78704.0,168290.0,334928.0,0.0204286,35.0,neutral>neutral>neutral>neutral,,,complete,E,1.0,True,441.0,574.0,1015.0,4421.0,4420.0,0.00025165,1.0,1,0,0,False,,stop,False,0,,
harp::2016::AMC_12B::7,train,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,36517.0,95943.0,132460.0,346940.0,733669.0,0.040203050000000004,35.0,neutral>neutral>neutral>neutral,,,complete,C,1.0,True,510.0,1549.0,2059.0,12090.0,12089.0,0.0006451,1.0,1,0,0,False,,stop,False,0,,
harp::1960::AHSME::38,train,harp,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,46306.0,155380.0,201686.0,577937.0,1175553.0,0.0644673,35.0,neutral>neutral>neutral>neutral,,,complete,E,0.0,False,732.0,2667.0,3399.0,20383.0,20382.0,0.0011033999999999998,1.0,1,0,0,False,,stop,False,0,,
harp::2019::AMC_12B::15,test,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,63372.0,364324.0,427696.0,957095.0,2039834.0,0.1488982,35.0,neutral>neutral>neutral>neutral,,,complete,B,0.0,False,820.0,20079.0,20899.0,110491.0,110490.0,0.008072600000000001,1.0,1,0,0,False,,stop,False,0,,
harp::2003::AMC_12A::3,train,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,34494.0,52771.0,87265.0,184792.0,348470.0,0.022833100000000002,35.0,neutral>neutral>neutral>neutral,,,complete,C,1.0,True,450.0,730.0,1180.0,4709.0,4708.0,0.0003145,1.0,1,0,0,False,,stop,False,0,,
harp::2017::AMC_12B::6,train,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,34659.0,51698.0,86357.0,224502.0,457776.0,0.022412150000000002,35.0,neutral>neutral>neutral>neutral,,,complete,E,1.0,True,449.0,862.0,1311.0,6883.0,6882.0,0.00036725,1.0,1,0,0,False,,stop,False,0,,
