task_id,split,domain,trajectory_status,completed_rounds,final_quality,quality_round_1,quality_round_2,quality_round_3,quality_round_4,quality_round_5,cumulative_input_tokens,cumulative_output_tokens,cumulative_total_tokens,cumulative_wall_clock_ms,cumulative_api_latency_ms,cumulative_cost_usd,cumulative_logical_calls,transitions,failure_reason,scoring_error,single_observation_status,single_predicted_answer,single_quality,single_is_correct,single_input_tokens,single_output_tokens,single_total_tokens,single_wall_clock_ms,single_api_latency_ms,single_cost_usd,single_logical_calls,single_api_attempts,single_transport_retries,single_format_repairs,single_fallback,single_fallback_type,single_finish_reason,single_truncated,single_truncated_attempts,single_failure_reason,single_scoring_error
harp::1990::AJHSME::19,test,harp,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,31188.0,3527.0,34715.0,22487.0,48461.0,0.0067944,35.0,neutral>neutral>neutral>neutral,,,complete,B,0.0,False,426.0,101.0,527.0,1740.0,1740.0,0.0001245,1.0,1,0,0,False,,stop,False,0,,
harp::1998::AHSME::28,test,harp,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,34083.0,3849.0,37932.0,25662.0,53760.0,0.007421850000000001,35.0,neutral>neutral>neutral>neutral,,,complete,C,0.0,False,475.0,114.0,589.0,1945.0,1945.0,0.00013964999999999998,1.0,1,0,0,False,,stop,False,0,,
harp::1968::AHSME::23,train,harp,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,34778.0,3964.0,38742.0,29248.0,55404.0,0.0075951000000000005,35.0,neutral>neutral>neutral>neutral,,,complete,C,1.0,True,492.0,157.0,649.0,2764.0,2764.0,0.000168,1.0,1,0,0,False,,stop,False,0,,
harp::2006::AMC_10B::9,train,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,33745.0,4077.0,37822.0,25192.0,51838.0,0.00750795,35.0,neutral>neutral>neutral>neutral,,,complete,B,0.0,False,468.0,151.0,619.0,2559.0,2558.0,0.0001608,1.0,1,0,0,False,,stop,False,0,,
harp::2016::AMC_12B::5,train,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,31964.0,3246.0,35210.0,25249.0,49839.0,0.0067421999999999985,35.0,neutral>neutral>neutral>neutral,,,complete,C,1.0,True,470.0,76.0,546.0,1229.0,1229.0,0.00011609999999999999,1.0,1,0,0,False,,stop,False,0,,
harp::1997::AJHSME::11,train,harp,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,35969.0,4880.0,40849.0,31394.0,60385.0,0.008323349999999998,35.0,neutral>neutral>neutral>neutral,,,complete,C,0.0,False,457.0,204.0,661.0,2969.0,2968.0,0.00019094999999999998,1.0,1,0,0,False,,stop,False,0,,
harp::2011::AMC_12A::16,validation,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,31457.0,3523.0,34980.0,24780.0,49289.0,0.00683235,35.0,neutral>neutral>neutral>neutral,,,complete,B,1.0,True,439.0,93.0,532.0,1371.0,1371.0,0.00012164999999999999,1.0,1,0,0,False,,stop,False,0,,
harp::1961::AHSME::1,validation,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,32597.0,3979.0,36576.0,24945.0,51835.0,0.007276950000000001,35.0,neutral>neutral>neutral>neutral,,,complete,B,1.0,True,430.0,146.0,576.0,2765.0,2764.0,0.00015209999999999998,1.0,1,0,0,False,,stop,False,0,,
harp::1960::AHSME::28,validation,harp,complete,5,1.0,1.0,1.0,1.0,1.0,1.0,30355.0,2847.0,33202.0,20022.0,42185.0,0.00626145,35.0,neutral>neutral>neutral>neutral,,,complete,A,0.0,False,452.0,51.0,503.0,1033.0,1032.0,9.839999999999999e-05,1.0,1,0,0,False,,stop,False,0,,
harp::1950::AHSME::6,validation,harp,complete,5,0.0,0.0,0.0,0.0,0.0,0.0,31382.0,2959.0,34341.0,20222.0,42240.0,0.0064827,35.0,neutral>neutral>neutral>neutral,,,complete,B,0.0,False,476.0,81.0,557.0,1449.0,1448.0,0.00012,1.0,1,0,0,False,,stop,False,0,,
